Grado,POBTOT_BC,PROM_HNV_BC
Primaria,3.173729076,1.154342408
Primaria,5.278281583,1.30289662
Primaria,3.173729076,1.759129576
Primaria,5.221992865,1.38804029
Primaria,4.219873652,1.420656386
Secundaria,4.793105253,1.256402655
Secundaria,4.841706354,1.354622588
Primaria,5.303550039,1.394626303
Primaria,4.39975504,1.474376475
Primaria,4.539988761,1.371434282
Primaria,5.279668308,1.477471841
Primaria,5.191563025,1.480560247
Secundaria,2.164451056,1.048020797
Primaria,4.762681328,1.30289662
Primaria,5.235788454,1.351235081
Primaria,3.383742604,1.632326378
Primaria,4.5324183,1.401180595
Primaria,4.762681328,1.374771764
Primaria,4.697565419,1.410953269
Primaria,2.164451056,1.274475901
Primaria,4.597102583,1.492844923
Primaria,4.03543658,1.662413019
Primaria trunca,3.099066523,1.520090993
Secundaria,2.865695503,1.114458515
Primaria trunca,2.000112052,1.948135303
Primaria,4.882253858,1.29937669
Secundaria,2.358194492,1.791597778
Primaria,2.865695503,1.593072026
Primaria,5.734323218,1.29937669
Secundaria,5.887394248,1.12253221
Primaria,5.534811899,1.378101063
Primaria,4.478444872,1.492844923
Secundaria,2.807714735,1.035180085
Primaria,4.457058788,1.458794032
Primaria,3.767528611,1.295847534
Primaria,2.358194492,1.102254504
Primaria,4.091335254,1.344434539
Primaria,4.686151157,1.29937669
Primaria,5.963974761,1.374771764
Primaria,4.41404611,1.575903796
Primaria,4.41873089,1.106335081
Secundaria,5.493713406,1.238082304
Primaria,2.89295941,1.552677371
Secundaria,2.511249635,1.404445948
Primaria,5.458163495,1.223243158
Primaria,5.366265799,1.364734593
Primaria,5.824443611,1.354622588
Primaria,4.157280798,1.358001645
Primaria,5.699236095,1.327282089
Primaria,4.704579683,1.471274113
Secundaria,5.511842449,1.320359673
Secundaria,2.807714735,1.13455091
Secundaria,2.865695503,1.181563055
Primaria,4.81170916,1.43667653
Secundaria,2.234822631,1.30289662
Primaria,3.7461495,1.471274113
Primaria trunca,2.637393466,1.629558847
Primaria,4.715617588,1.334169206
Primaria,3.272035984,1.38804029
Primaria,4.579878396,1.267275796
Secundaria,3.617792274,1.064948093
Primaria,5.228171108,1.378101063
Primaria,4.168188718,1.514082695
Primaria,4.994506683,1.439858144
Primaria,4.53432058,1.181563055
Primaria,3.660800364,1.278061524
Preparatoria,2.674916838,0.598940018
Primaria,6.036062584,1.344434539
Primaria,2.674916838,1.629558847
Primaria trunca,3.015064485,1.344434539
Secundaria,2.89295941,1.378101063
Preparatoria,3.500801004,1.154342408
Primaria,4.138638601,1.520090993
Primaria,3.511414706,1.612837402
Primaria,4.149894669,0.652305678
Primaria,3.685258263,1.378101063
